OOincl 0.78875 0.040
b1 0.882183 0.046
b2 0.826526 0.055
b3 0.808059 0.051
b4 0.821576 0.052
b5 0.81053 0.061
b6 0.865745 0.046

TT_b1 0.75602 0.162158
TT_b2 0.889053 0.102263
TT_b3 0.790545 0.151835
TT_b4 0.915572 0.0801497
TT_b5 0.77643 0.136432
TT_b6 0.884029 0.100763
 
TL_b1 0.897444 0.0972196
TL_b2 0.806223 0.0986769
TL_b3 0.751106 0.117889
TL_b4 0.812872 0.0945848
TL_b5 0.809152 0.101336
TL_b6 0.868969 0.0857845
      
LT_b1 0.934899 0.0296161
LT_b2 0.811317 0.0609204
LT_b3 0.881108 0.0298027
LT_b4 0.835395 0.0524856
LT_b5 0.860831 0.0510594
LT_b6 0.876229 0.0481521
      
LL_b1 0.860031 0.0541571
LL_b2 0.873267 0.0651687
LL_b3 0.832124 0.0559287
LL_b4 0.903164 0.0495394
LL_b5 0.880485 0.0691636
LL_b6 0.83432 0.0434175
